State Name [District] Latest available year,mean,amin,amax
Alabama,73.879389313,32.8,99.7
Alaska,71.0764705882,23.3,100.0
Arizona,74.5823899371,2.0,100.0
Arkansas,78.0185483871,10.3,100.0
California,78.74375,7.5,100.0
Colorado,80.5902857143,12.5,100.0
Delaware,73.1380952381,45.8,100.0
District of Columbia,65.8142857143,48.1,87.5
Florida,69.8712328767,26.1,97.5
Georgia,68.6888268156,13.8,100.0
Hawaii,75.4,75.4,75.4
Idaho,82.3072072072,32.7,100.0
Illinois,85.4196335079,0.9,100.0
Indiana,80.259,12.9,100.0
Iowa,90.8336448598,54.5,100.0
Kansas,86.4399293286,50.0,100.0
Kentucky,80.8130177515,50.5,100.0
Louisiana,67.9586666667,21.4,100.0
Maine,83.9729411765,60.0,100.0
Maryland,84.3916666667,61.2,94.3
Massachusetts,82.7319502075,30.5,100.0
Michigan,79.9727748691,20.7,100.0
Minnesota,86.4190082645,27.6,100.0
Mississippi,63.1141891892,40.3,92.8
Missouri,85.3523281596,13.7,100.0
Montana,85.1411764706,38.5,100.0
Nebraska,89.7758333333,44.4,100.0
Nevada,66.25625,40.0,96.3
New Hampshire,85.7779411765,60.4,100.0
New Jersey,90.5106995885,44.4,100.0
New Mexico,72.602247191,27.9,100.0
New York,84.6523460411,5.7,100.0
North Carolina,75.571969697,43.8,100.0
North Dakota,88.3116788321,45.5,100.0
Ohio,86.2060185185,30.4,100.0
Oklahoma,83.5208920188,40.9,100.0
Oregon,79.9132947977,33.3,100.0
Pennsylvania,86.660341556,27.3,100.0
Rhode Island,78.796969697,50.0,100.0
South Carolina,66.3321428571,48.3,97.0
South Dakota,86.4191780822,36.5,100.0
Tennessee,83.0588235294,62.7,100.0
Texas,82.116226784,19.6,100.0
Utah,79.9204545455,41.4,100.0
Vermont,89.6641509434,53.8,100.0
Virginia,78.9661654135,52.1,100.0
Washington,80.1367346939,40.5,100.0
West Virginia,80.0571428571,68.8,100.0
Wisconsin,92.7497282609,40.7,100.0
Wyoming,80.6065217391,19.2,100.0
