Agency ID - NCES Assigned [District] Latest available year,Agency Name,State Name [District] Latest available year,Urban-centric Locale [District] 2009-10,Student_Size,Lunch_Status,AFGR,i_agency_type_regional_education_services,i_lgo_PK,i_lgo_K,Total Number Operational Schools [Public School] 2009-10,i_fin_sdlc_sec,r_frev_ao,r_frev_dis,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2009-10,r_stud_reg_12_W_M,r_stud_reg_12_W_F,i_fin_sdlc_elem_sec,i_fin_sdlc_voc,r_stud_reg_12_W_F_LOWFULL,i_lgo_PK_LOWFULL,r_stud_reg_12_W_M_LOWFULL,i_lgo_K_LOWFULL,i_agency_type_local_school_district,r_frev_ao_LOWFULL,r_stud_re_B,r_stud_912,i_lgo_K_HIGHNOGE,i_lgo_PK_HIGHNOGE,i_fin_sdlc_sec_HIGHNOGE,r_st_TS,Total Number Operational Schools [Public School] 2009-10_HIGHNOGE,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2009-10_HIGHNOGE,r_frev_ao_HIGHNOGE,r_frev_dis_HIGHNOGE,r_stud_912_HIGHNOGE,i_fin_sdlc_voc_HIGHNOGE,i_lgo_K_LOWNOGE,i_lgo_PK_LOWNOGE,r_st_TS_LOWNOGE,i_fin_sdlc_voc_LOWNOGE,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2009-10_LOWNOGE,r_stud_912_LOWNOGE,r_frev_ao_LOWNOGE,i_ma_metropolitan,i_ucl_city_small,i_ma_micropolitan
1800046,21ST CENTURY CHARTER SCH OF GARY,Indiana,13-City: Small,Small,High,30.2,0,0,1,1.0,0,0.1766437684,0.0,11197.0,0.0,0.0,1,0,0.0,0,0.0,1,0,0.1766437684,0.947222222222,0.277777777778,1,0,0,0.113888888889,1.0,11197.0,0.1766437684,0.0,0.277777777778,0,1,0,0.113888888889,0,11197.0,0.277777777778,0.1766437684,1,1,0
4200091,21ST CENTURY CYBER CS,Pennsylvania,21-Suburb: Large,Small,Average,100.0,0,0,0,1.0,0,,,8732.0,0.0488215488215,0.122895622896,1,0,0.122895622896,0,0.0488215488215,0,0,,0.0454545454545,0.813131313131,0,0,0,0.055303030303,1.0,8732.0,,,0.813131313131,0,0,0,0.055303030303,0,8732.0,0.813131313131,,1,0,0
4800203,A+ ACADEMY,Texas,11-City: Large,Medium,High,55.7,0,1,0,1.0,0,0.320130222463,0.0564297341291,8864.0,0.00290416263311,0.00387221684414,1,0,0.00387221684414,1,0.00290416263311,0,0,0.320130222463,0.0890609874153,0.220716360116,0,1,0,0.167986447241,1.0,8864.0,0.320130222463,0.0564297341291,0.220716360116,0,0,1,0.167986447241,0,8864.0,0.220716360116,0.320130222463,1,0,0
1700105,A-C CENTRAL CUSD 262,Illinois,42-Rural: Distant,Small,Average,70.7,0,0,1,3.0,0,0.402409638554,0.306024096386,13200.0,0.0277777777778,0.0347222222222,1,0,0.0347222222222,0,0.0277777777778,1,1,0.402409638554,0.0185185185185,0.300925925926,1,0,0,0.095,3.0,13200.0,0.402409638554,0.306024096386,0.300925925926,0,1,0,0.095,0,13200.0,0.300925925926,0.402409638554,0,0,0
1904080,A-H-S-T COMM SCHOOL DISTRICT,Iowa,43-Rural: Remote,Medium,Low,95.7,0,1,0,2.0,0,0.554655870445,0.107962213225,11586.0,0.0302521008403,0.0436974789916,1,0,0.0436974789916,1,0.0302521008403,0,1,0.554655870445,0.00168067226891,0.282352941176,0,1,0,0.118534482759,2.0,11586.0,0.554655870445,0.107962213225,0.282352941176,0,0,1,0.118534482759,0,11586.0,0.282352941176,0.554655870445,1,0,0
2700106,A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,42-Rural: Distant,Medium,Average,89.6,0,1,0,5.0,0,0.654213036566,0.0,11080.0,0.0362756952842,0.0350665054414,1,0,0.0350665054414,1,0.0362756952842,0,1,0.654213036566,0.0108827085852,0.307134220073,0,1,0,0.154554216867,5.0,11080.0,0.654213036566,0.0,0.307134220073,0,0,1,0.154554216867,0,11080.0,0.307134220073,0.654213036566,0,0,0
4500690,ABBEVILLE 60,South Carolina,42-Rural: Distant,Large,High,59.3,0,1,0,9.0,0,0.25390625,0.201526988636,9891.0,0.0157164869029,0.0157164869029,1,0,0.0157164869029,1,0.0157164869029,0,1,0.25390625,0.387981510015,0.269645608629,0,1,0,0.117596302003,9.0,9891.0,0.25390625,0.201526988636,0.269645608629,0,0,1,0.117596302003,0,9891.0,0.269645608629,0.25390625,0,0,0
5500030,ABBOTSFORD SCHOOL DISTRICT,Wisconsin,32-Town: Distant,Small,Average,100.0,0,1,0,2.0,0,0.416774193548,0.0438709677419,12299.0,0.0376811594203,0.0289855072464,1,0,0.0289855072464,1,0.0376811594203,0,1,0.416774193548,0.0144927536232,0.297101449275,0,1,0,0.115942028986,2.0,12299.0,0.416774193548,0.0438709677419,0.297101449275,0,0,1,0.115942028986,0,12299.0,0.297101449275,0.416774193548,0,0,0
4807380,ABBOTT ISD,Texas,42-Rural: Distant,Small,Average,96.2,0,1,0,1.0,0,0.567398119122,0.0,10586.0,0.03367003367,0.026936026936,1,0,0.026936026936,1,0.03367003367,0,1,0.567398119122,0.020202020202,0.292929292929,0,1,0,0.146094276094,1.0,10586.0,0.567398119122,0.0,0.292929292929,0,0,1,0.146094276094,0,10586.0,0.292929292929,0.567398119122,0,0,0
2500051,ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),Massachusetts,12-City: Mid-size,Small,Average,73.1,0,0,1,1.0,0,,,,0.00631136044881,0.00490883590463,1,0,0.00490883590463,0,0.00631136044881,1,0,,0.296633941094,0.217391304348,1,0,0,0.107748948107,1.0,,,,0.217391304348,0,1,0,0.107748948107,0,,0.217391304348,,1,0,0
601620,ABC UNIFIED,California,13-City: Small,Large,Average,93.9,0,0,1,31.0,0,0.370720466516,0.220278404816,9055.0,0.00438913808904,0.00236338204794,1,0,0.00236338204794,0,0.00438913808904,1,1,0.370720466516,0.102252447789,0.347272464188,1,0,0,0.0614751807229,31.0,9055.0,0.370720466516,0.220278404816,0.347272464188,0,1,0,0.0614751807229,0,9055.0,0.347272464188,0.370720466516,1,1,0
1600030,ABERDEEN DISTRICT,Idaho,42-Rural: Distant,Medium,High,79.2,0,1,0,3.0,0,0.314982973893,0.0964812712826,8162.0,0.0248756218905,0.0199004975124,1,0,0.0199004975124,1,0.0248756218905,0,1,0.314982973893,0.00248756218905,0.300995024876,0,1,0,0.126480099502,3.0,8162.0,0.314982973893,0.0964812712826,0.300995024876,0,0,1,0.126480099502,0,8162.0,0.300995024876,0.314982973893,0,0,1
2800360,ABERDEEN SCHOOL DIST,Mississippi,33-Town: Remote,Medium,High,77.1,0,1,0,7.0,0,0.45152780831,0.0949659265773,11363.0,0.00068166325835,0.0013633265167,1,0,0.0013633265167,1,0.00068166325835,0,1,0.45152780831,0.953646898432,0.339468302658,0,1,0,0.17857532379,7.0,11363.0,0.45152780831,0.0949659265773,0.339468302658,0,0,1,0.17857532379,0,11363.0,0.339468302658,0.45152780831,0,0,0
5300030,ABERDEEN SCHOOL DISTRICT,Washington,33-Town: Remote,Large,Average,55.9,0,1,0,10.0,0,0.370283365145,0.119365731904,10813.0,0.0280373831776,0.0286214953271,1,0,0.0286214953271,1,0.0280373831776,0,1,0.370283365145,0.00642523364486,0.329147196262,0,1,0,0.112275116822,10.0,10813.0,0.370283365145,0.119365731904,0.329147196262,0,0,1,0.112275116822,0,10813.0,0.329147196262,0.370283365145,0,0,1
4602070,ABERDEEN SCHOOL DISTRICT 06-1,South Dakota,33-Town: Remote,Large,Low,83.9,0,0,1,10.0,0,0.150448283403,0.408921933086,9410.0,0.0396681358569,0.0373347161006,1,0,0.0373347161006,0,0.0396681358569,1,1,0.150448283403,0.0142597873995,0.312418978481,1,0,0,0.143743842365,10.0,9410.0,0.150448283403,0.408921933086,0.312418978481,0,1,0,0.143743842365,0,9410.0,0.312418978481,0.150448283403,0,0,1
4807410,ABERNATHY ISD,Texas,32-Town: Distant,Small,Average,90.2,0,1,0,4.0,0,0.344322344322,0.0,11854.0,0.0247218788628,0.0123609394314,1,0,0.0123609394314,1,0.0247218788628,0,1,0.344322344322,0.0148331273177,0.264524103832,0,1,0,0.166909765142,4.0,11854.0,0.344322344322,0.0,0.264524103832,0,0,1,0.166909765142,0,11854.0,0.264524103832,0.344322344322,0,0,1
2003180,ABILENE,Kansas,33-Town: Remote,Medium,Low,91.1,0,0,1,6.0,0,0.595315549772,0.0,9056.0,0.0342679127726,0.0330218068536,1,0,0.0330218068536,0,0.0342679127726,1,1,0.595315549772,0.00872274143302,0.302180685358,1,0,0,0.133644859813,6.0,9056.0,0.595315549772,0.0,0.302180685358,0,1,0,0.133644859813,0,9056.0,0.302180685358,0.595315549772,0,0,0
4807440,ABILENE ISD,Texas,12-City: Mid-size,Medium,Average,73.1,0,1,0,38.0,0,0.319697012681,0.138585491787,9184.0,0.0147058823529,0.0144093927894,1,0,0.0144093927894,1,0.0147058823529,0,1,0.319697012681,0.141662713472,0.26375711575,0,1,0,0.142143864598,38.0,9184.0,0.319697012681,0.138585491787,0.26375711575,0,0,1,0.142143864598,0,9184.0,0.26375711575,0.319697012681,1,0,0
1703090,ABINGDON CUSD 217,Illinois,33-Town: Remote,Small,Average,98.2,0,1,0,3.0,0,0.653483992467,0.0,8793.0,0.0249343832021,0.0406824146982,1,0,0.0406824146982,1,0.0249343832021,0,1,0.653483992467,0.00787401574803,0.317585301837,0,1,0,0.0765211810013,3.0,8793.0,0.653483992467,0.0,0.317585301837,0,0,1,0.0765211810013,0,8793.0,0.317585301837,0.653483992467,0,0,1
2501650,ABINGTON,Massachusetts,21-Suburb: Large,Small,Low,80.2,0,1,0,5.0,0,0.0491539081386,0.678485092667,11701.0,0.0324349017816,0.0283234353586,1,0,0.0283234353586,1,0.0324349017816,0,1,0.0491539081386,0.015532206487,0.254910918228,0,1,0,0.0980447693011,5.0,11701.0,0.0491539081386,0.678485092667,0.254910918228,0,0,1,0.0980447693011,0,11701.0,0.254910918228,0.0491539081386,1,0,0
4202010,ABINGTON HEIGHTS SD,Pennsylvania,21-Suburb: Large,Medium,Low,93.4,0,0,1,6.0,0,0.549741602067,0.0,11670.0,0.0365572826713,0.0405872193437,1,0,0.0405872193437,0,0.0365572826713,1,1,0.549741602067,0.0141047783535,0.341968911917,1,0,0,0.132556131261,6.0,11670.0,0.549741602067,0.0,0.341968911917,0,1,0,0.132556131261,0,11670.0,0.341968911917,0.549741602067,1,0,0
4202040,ABINGTON SD,Pennsylvania,21-Suburb: Large,Large,Low,94.6,0,0,1,9.0,0,0.45,0.13696969697,17212.0,0.0320625084198,0.0280210157618,1,0,0.0280210157618,0,0.0320625084198,1,1,0.45,0.218510036373,0.339889532534,1,0,0,0.141869863936,9.0,17212.0,0.45,0.13696969697,0.339889532534,0,1,0,0.141869863936,0,17212.0,0.339889532534,0.45,1,0,0
500059,ACADEMICS PLUS CHARTER SCHOOL,Arkansas,31-Town: Fringe,Small,Low,73.8,0,0,1,2.0,0,0.319444444444,0.37962962963,6409.0,0.0278810408922,0.0204460966543,1,0,0.0204460966543,0,0.0278810408922,1,0,0.319444444444,0.124535315985,0.267657992565,1,0,0,0.14312267658,2.0,6409.0,0.319444444444,0.37962962963,0.267657992565,0,1,0,0.14312267658,0,6409.0,0.267657992565,0.319444444444,1,0,0
2600166,ACADEMY FOR BUSINESS AND TECHNOLOGY,Michigan,21-Suburb: Large,Small,High,82.2,0,0,1,2.0,0,0.401856763926,0.0,10317.0,0.00306278713629,0.00306278713629,1,0,0.00306278713629,0,0.00306278713629,1,0,0.401856763926,0.673813169985,0.410413476263,1,0,0,0.125402124431,2.0,10317.0,0.401856763926,0.0,0.410413476263,0,1,0,0.125402124431,0,10317.0,0.410413476263,0.401856763926,1,0,0
4807470,ACADEMY ISD,Texas,41-Rural: Fringe,Small,Average,96.5,0,1,0,4.0,0,0.630988786952,0.0,9252.0,0.0297674418605,0.0241860465116,1,0,0.0241860465116,1,0.0297674418605,0,1,0.630988786952,0.0232558139535,0.293023255814,0,1,0,0.152902325581,4.0,9252.0,0.630988786952,0.0,0.293023255814,0,0,1,0.152902325581,0,9252.0,0.293023255814,0.630988786952,1,0,0
