Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Full-Time Equivalent (FTE) Teachers [District] 2009-10,Full-Time Equivalent (FTE) Teachers [Public School] 2009-10,Pupil/Teacher Ratio [District] 2009-10,Pupil/Teacher Ratio [Public School] 2009-10,Prekindergarten Teachers [District] 2009-10,Kindergarten Teachers [District] 2009-10,Elementary Teachers [District] 2009-10,Secondary Teachers [District] 2009-10,Ungraded Teachers [District] 2009-10,Total Staff [District] 2009-10,Instructional Aides [District] 2009-10,Instructional Coordinators [District] 2009-10,Elementary Guidance Counselors [District] 2009-10,Secondary Guidance Counselors [District] 2009-10,Other Guidance Counselors [District] 2009-10,Total Guidance Counselors [District] 2009-10,Librarians/Media Specialists [District] 2009-10,Library Media Support Staff [District] 2009-10,LEA Administrators [District] 2009-10,LEA Administrative Support Staff [District] 2009-10,School Administrators [District] 2009-10,School Administrative Support Staff [District] 2009-10,Student Support Services Staff [District] 2009-10,Other Support Services Staff [District] 2009-10
21ST CENTURY CHARTER SCH OF GARY,Indiana,1800046,23.00,21.00,15.65,17.14,0,2.00,9.00,10.00,2.00,41.00,11.00,0,0,0,†,0,0,0,0,0,1.00,2.00,0,4.00
21ST CENTURY CYBER CS,Pennsylvania,4200091,20.85,20.85,28.49,28.49,0,0,0,19.85,1.00,32.85,3.00,0,0,2.00,†,2.00,0,0,3.00,3.00,0,0,0,1.00
21ST CENTURY PREPARATORY SCHOOL AGENCY,Wisconsin,5500045,30.50,30.50,16.62,16.62,2.00,3.00,19.00,6.50,0,43.50,4.00,0,0,0,†,0,0,0,2.00,0,1.00,3.00,="0.50",2.50
4-WINDS ACADEMY  INCORPORATED DBA 4-WINDS ACADEMY,Arizona,="0400380",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
A CENTER FOR CREATIVE EDUCATION,Arizona,="0400328",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
A CHILD'S VIEW SCHOOL  INC.,Arizona,="0400431",2.00,†,29.00,†,0,0,2.00,0,†,4.25,1.00,0,0,0,†,0,0,0,="0.50",0,="0.50",0,0,="0.25"
A E R O  SPEC EDUC COOP,Illinois,1700024,73.40,34.90,0,6.05,7.00,4.00,33.40,29.00,0,136.59,–,6.00,0,0,†,0,0,–,3.00,–,1.00,–,53.19,–
A W BEATTIE CAREER CENTER,Pennsylvania,4280010,31.50,31.50,0,0,0,0,0,28.50,3.00,76.00,11.00,1.00,0,1.00,†,1.00,0,0,2.00,0,3.00,7.00,8.00,11.50
A W BROWN-FELLOWSHIP LEADERSHIP ACADEMY,Texas,4800095,61.00,61.00,22.16,22.16,12.00,3.79,38.07,0,7.14,129.00,15.00,0,–,–,†,–,0,0,1.00,8.00,3.00,4.00,2.00,35.00
A+ ACADEMY,Texas,4800203,62.21,62.21,16.61,16.61,0,1.14,17.98,33.30,9.79,173.53,30.68,4.06,–,–,†,–,1.00,0,11.00,19.00,6.20,5.00,15.87,18.51
A+ ARTS ACADEMY,Ohio,3900305,12.00,12.00,12.83,12.83,0,0,4.35,7.65,0,26.00,3.00,0,–,–,†,–,0,0,1.00,5.00,0,0,1.00,4.00
A-C CENTRAL CUSD 262,Illinois,1700105,36.75,35.75,11.86,12.08,0,2.00,18.00,16.75,0,41.42,–,0,0,0,†,0,1.00,–,1.00,–,2.67,–,0,–
A-H-S-T COMM SCHOOL DISTRICT,Iowa,1904080,44.50,44.50,15.64,13.37,2.50,2.55,18.60,20.85,†,82.50,9.40,1.00,1.00,1.00,†,2.00,1.00,1.00,1.60,="0.40",3.00,3.00,0,15.60
A. LINWOOD HOLTON GOV SCH,Virginia,5100033,0,0,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
A.B. GRAHAM ACADEMY,Ohio,3901358,0,="0.98",†,155.10,0,0,0,0,0,–,0,0,–,–,†,–,0,0,0,0,0,0,0,0
