Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Full-Time Equivalent (FTE) Teachers [District] 2009-10,Full-Time Equivalent (FTE) Teachers [Public School] 2009-10,Pupil/Teacher Ratio [District] 2009-10,Pupil/Teacher Ratio [Public School] 2009-10,Prekindergarten Teachers [District] 2009-10,Kindergarten Teachers [District] 2009-10,Elementary Teachers [District] 2009-10,Secondary Teachers [District] 2009-10,Ungraded Teachers [District] 2009-10,Total Staff [District] 2009-10,Instructional Aides [District] 2009-10,Instructional Coordinators [District] 2009-10,Elementary Guidance Counselors [District] 2009-10,Secondary Guidance Counselors [District] 2009-10,Total Guidance Counselors [District] 2009-10,Librarians/Media Specialists [District] 2009-10,Library Media Support Staff [District] 2009-10,LEA Administrators [District] 2009-10,LEA Administrative Support Staff [District] 2009-10,School Administrators [District] 2009-10,School Administrative Support Staff [District] 2009-10,Student Support Services Staff [District] 2009-10,Other Support Services Staff [District] 2009-10
(ILC) ATOKA-COAL COUNTIES                                   ,Oklahoma,4000028,2.50,†,†,†,0,0,0,2.50,0,3.40,0,="0.60",0,0,0,0,0,0,="0.30",0,0,0,0
(ILC) CHEROKEE COUNTY                                       ,Oklahoma,4000029,0,†,†,†,0,0,0,0,0,21.60,12.60,1.00,0,0,0,0,0,0,1.20,0,0,4.00,2.80
(ILC) CHOCTAW NATION                                        ,Oklahoma,4000099,14.50,†,†,†,8.50,0,0,6.00,0,34.10,18.80,="0.10",0,0,0,0,0,0,0,0,0,0,="0.70"
(ILC) FIVE-STAR                                             ,Oklahoma,4000044,31.00,†,†,†,0,0,0,0,31.00,104.80,58.10,0,0,1.00,1.00,0,0,0,3.70,0,0,11.00,0
(ILC) GARFIELD COUNTY                                       ,Oklahoma,4000022,7.30,†,†,†,0,0,0,2.00,5.30,12.00,4.70,0,0,0,0,0,0,0,0,0,0,0,0
(ILC) MCCURTAIN COUNTY/MCCARE                               ,Oklahoma,4000023,1.00,†,†,†,0,0,0,0,1.00,7.80,0,="0.50",0,0,0,0,0,0,2.70,0,0,3.60,0
(ILC) NEWNET 66                                             ,Oklahoma,4000031,0,†,†,†,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(ILC) OSAGE COUNTY                                          ,Oklahoma,4000025,2.00,†,†,†,0,0,2.00,0,0,47.80,14.40,8.00,0,2.60,2.60,0,1.60,0,5.00,0,0,14.20,0
(ILC) POOLED INVESTMENT                                     ,Oklahoma,4000018,0,†,†,†,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(ILC) SEMINOLE COUNTY                                       ,Oklahoma,4000026,0,†,†,†,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
